,ao_hechos,delito,categoria_delito,longitud,latitud
1053375,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1033315700468,19.4162408523867
1053459,2021,VIOLACION,VIOLACIÓN,-99.26443844989409,19.3106891615471
1053600,2021,VIOLACION,VIOLACIÓN,-99.0881609899802,19.5005724709089
1053624,2021,VIOLACION,VIOLACIÓN,-99.14841439982821,19.4172676413656
1053957,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.075881839539,19.4857905394747
1054125,2021,VIOLACION,VIOLACIÓN,-99.2032071899719,19.3484811531087
1054168,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1107666503252,19.3565745266042
1054194,2021,VIOLACION,VIOLACIÓN,-99.0396486499857,19.3704629502067
1054220,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2080337800447,19.3928409963211
1054489,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0479198097241,19.324795508849
1054748,2021,VIOLACION,VIOLACIÓN,-99.0591439600661,19.322979617462
1054824,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1654890796294,19.4226725679488
1055136,2021,VIOLACION,VIOLACIÓN,-99.12613480963579,19.329454082961398
1055258,2021,VIOLACION Y ROBO DE VEHICULO,VIOLACIÓN,-99.0963564800194,19.2628073116417
1056113,2021,VIOLACION,VIOLACIÓN,-99.18131021023821,19.3418644209465
1056250,2021,VIOLACION,VIOLACIÓN,-99.1005460903146,19.41421384748
1056322,2021,VIOLACION,VIOLACIÓN,-99.1810465502684,19.4491974221926
1056894,2021,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN,-99.15914610014829,19.4531741880792
1057316,2021,VIOLACION,VIOLACIÓN,-99.21180895002821,19.2802623101051
1057376,2021,VIOLACION,VIOLACIÓN,-99.13720696993592,19.535500080277604
1057456,2021,VIOLACION,VIOLACIÓN,-99.1055247200002,19.312247337907802
1057601,2021,VIOLACION,VIOLACIÓN,-99.2001005903034,19.4989439356347
1057635,2021,VIOLACION,VIOLACIÓN,-99.2118269200488,19.3896963076915
1057740,2021,VIOLACION,VIOLACIÓN,-99.165226220202,19.324014666369603
1057813,2021,VIOLACION,VIOLACIÓN,-99.1546027401029,19.5160274900609
1057867,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1214539100865,19.4062615458621
1057907,2021,VIOLACION,VIOLACIÓN,-99.10133734002501,19.3886770743453
1057930,2021,VIOLACION,VIOLACIÓN,-99.25160781042541,19.3259638359388
1058036,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.12974595975321,19.4348494501705
1058161,2021,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN,-99.13627713955141,19.571098882459896
1058199,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.26640987043008,19.3655093064019
1058208,2021,VIOLACION,VIOLACIÓN,-99.1625896100527,19.3160078896423
1058276,2021,VIOLACION,VIOLACIÓN,-99.13587749013479,19.4269030540598
1058385,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.15526865970709,19.407147173331897
1058433,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0512967096009,19.3419731025085
1058501,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.16976117015258,19.3364245127266
1058757,2021,VIOLACION,VIOLACIÓN,-99.03573184963741,19.3221783532855
1058805,2021,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN,-99.146015300042,19.3958970292081
1058928,2021,VIOLACION,VIOLACIÓN,-99.07541245043609,19.323818510646998
1059224,2021,VIOLACION,VIOLACIÓN,-99.16494637961131,19.442601808207897
